Word,Hindi Meaning
applicable,उपयुक्त
district,जिला Seoni
shadows,छैया छैया
Jim,जिम
silk,रेशम
failure,असफलता
links,लिंक
cent,प्रतिशत
sentiment,भाव
amid,के बीच
profits,मुनाफे
agent,प्रतिनिधि
finds,पाता
Russia,रूस
bade,बड़े
Russian,रूसी
desperate,बेकरार
union,संघ
imagined,कल्पना
contempt,अवमानना
raising,स्थापना
lords,प्रभुओं
hell,नरक
separated,अलग
grant,देना
seriously,गंभीरता से
tribes,जनजातियों
hit,मारो
enormous,विशाल
defective,दोषपूर्ण
conviction,दोषसिद्धि
secured,सुरक्षित
mixed,मिला हुआ
insisted,जोर दिया
wooden,लकड़ी का
prefer,वरीयता देना
prayers,प्रार्थना
fever,बुखार
selected,चयनित
daughters,बेटियों
treat,व्यवहार करना
warning,चेतावनी
flew,उड़ गया
speaks,बोलता हे
developed,विकसित
impulse,आवेग
slipped,फिसल गया
ours,हमारा
Johnson,जॉनसन
mistaken,गलत
damages,हर्जाना
ambition,महत्वाकांक्षा
resumed,फिर से शुरू
christmas,क्रिसमस
yield,पैदावार
ideal,आदर्श
schools,स्कूलों
confirmed,की पुष्टि की
descended,वंशज
rush,जल्दबाज़ी करना
falls,फॉल्स
deny,अस्वीकार करना
calculated,गणना
correct,सही
perform,अभिनय करना
hadn't,नहीं था
somehow,किसी न किसी तरह
accordingly,इसलिए
stayed,रुके
acquired,अधिग्रहीत
counsel,सलाह
distress,संकट
sins,पापों
notion,धारणा
discussion,बहस
constitution,संविधान
Anne,ऐनी
hundreds,सैकड़ों
instrument,वाद्य यंत्र
firmly,दृढ़ता से
actions,कार्रवाई
steady,नियमित
remarks,टिप्पणियां
empire,साम्राज्य
elements,तत्वों
idle,निठल्ला
pen,कलम
entering,प्रवेश
online,ऑनलाइन
Africa,अफ्रीका
permit,आज्ञा देना
th',वां'
tide,ज्वार-भाटा
vol,वॉल
leaned,झुक
college,कॉलेज
maintain,बनाए रखना
sovereign,सार्वभौम
tail,पूंछ
generation,पीढ़ी
crowded,भीड़-भाड़ वाला
fears,आशंका
nights,रातों
limitation,परिसीमन
tied,बंधा होना
horrible,भयंकर
cat,बिल्ली
displaying,प्रदर्शित
port,बंदरगाह
male,नर
experienced,अनुभव
opposed,विरोध
treaty,संधि
contents,अंतर्वस्तु
rested,विश्राम किया
mode,तरीका
poured,डाला
les,लेस
occur,घटित होना
seeking,मांगना
practically,वास्तव में
abandoned,त्यागा हुआ
reports,रिपोर्टों
eleven,ग्यारह
sank,डूब गया
begins,शुरू करना
founded,स्थापित
brings,लाता है
trace,पता लगाना
instinct,स्वाभाविक प्रवृत्ति
collected,जुटाया हुआ
Scotland,स्कॉटलैंड
characteristic,विशेषता
chose,चुना
cheerful,हंसमुख
tribe,जनजाति
costs,लागत
threatened,धमकाया
arrangement,व्यवस्था
western,वेस्टर्न
sang,गाया
beings,प्राणियों
Sam,सैम
pressure,दबाव
politics,राजनीति
sorts,प्रकार
shelter,आश्रय
rude,असभ्य
scientific,वैज्ञानिक
revealed,प्रकट किया
winds,हवाओं
riding,राइडिंग
scenes,दृश्यों
shake,हिलाना
industry,उद्योग
claims,दावों
pp.,पीपी।
merit,योग्यता
profession,पेशा
lamp,दीपक
interview,साक्षात्कार
territory,क्षेत्र
sleeping,सो रहा
sex,लिंग
coffee,कॉफ़ी
devotion,भक्ति
thereof,उसके
creation,निर्माण
trail,पगडंडी
Romans,रोमनों
supported,का समर्थन किया
requires,आवश्यक है
fathers,पिता की
prospect,आशा
obey,आज्ञा का पालन
Alexander,सिकंदर
shone,शॉन
operation,संचालन
northern,उत्तरी
nurse,देखभाल करना
profound,प्रगाढ़
hungry,भूखा
Scott,स्कॉट
sisters,बहन की
assure,आश्वासन
exceedingly,निहायत
match,मिलान
wrath,क्रोध
continually,लगातार
rest.,विश्राम।
gifts,उपहार
folly,मूर्खता
chain,जंजीर
uniform,वर्दी
debt,का कर्ज
teaching,शिक्षण
venture,जोखिम उठाना
execution,कार्यान्वयन
shoes,जूते
mood,मनोदशा
crew,कर्मी दल
perceive,समझना
accounts,हिसाब किताब
eating,खाना
multitude,भीड़
declare,घोषित
yard,यार्ड
o'er,ओर
astonishment,विस्मय
version,संस्करण
vague,अस्पष्ट
odd,अजीब
grateful,आभारी
nearest,निकटतम
infinite,अनंत
elsewhere,कहीं
copying,नकल
apartment,अपार्टमेंट
activity,गतिविधि
wives,पत्नियों
parted,जुदा
security,सुरक्षा
cared,परवाह
sensible,समझदार
owing,कारण
Martin,मार्टिन
Saturday,शनिवार
cottage,झोपड़ी
Jews,यहूदियों
leaning,झुकाव
capacity,क्षमता
joe,जो
settle,निपटारा करना
referred,निर्दिष्ट
Francis,फ्रांसिस
holder,धारक
involved,शामिल
sunshine,धूप
Dutch,डच
council,परिषद
princes,प्रधानों
ate,खा गए
examination,इंतिहान
steel,इस्पात
strangers,अनजाना अनजानी
beheld,देखना
test,परीक्षण
noted,विख्यात
slightest,थोड़ी सी भी
widow,विधवा
charity,दान पुण्य
realized,एहसास हुआ
element,तत्व
shed,छप्पर
errors,त्रुटियों
communication,संचार
reflection,प्रतिबिंब
attacked,हमला किया
organization,संगठन
maintained,बनाए रखा
restored,बहाल
folks,मित्रों
concealed,गुप्त
accordance,अनुसार
heavens,स्वर्ग
star,सितारा
examined,जांच की
deeds,काम
wordforms,वर्डफॉर्म
somebody,कोई
incident,घटना
oath,क़सम
guest,अतिथि
bar,छड़
row,पंक्ति
poverty,गरीबी
bottle,बोतल
prevented,रोका
bless,आशीर्वाद देना
stir,हलचल
intense,गहन
completed,पूरा किया हुआ
quarrel,झगड़ा
touching,मार्मिक
inner,भीतरी
available,उपलब्ध
fix,हल करना
resistance,प्रतिरोध
unusual,असामान्य
deed,काम
derive,निकाले जाते हैं
hollow,खोखला
suspected,शक किया
contains,रोकना
sighed,धूर्त
province,प्रांत
deserted,सुनसान
establishment,स्थापना
vote,वोट
muttered,धीरे से कहना
thither,उधर
oxford,ऑक्सफ़ोर्ड
cavalry,घुड़सवार सेना
lofty,बुलंद
endure,सहना
succeed,सफल होना
leg,टांग
bid,बोली
Alice,ऐलिस
hated,नफरत
civilization,सभ्यता
u.s.,हम।
acting,अभिनय
landed,उतर ली
Christians,ईसाइयों
passions,जुनून
interior,आंतरिक भाग
scarce,अपर्याप्त
lightly,हलकी हलकी
disturbed,बिंध डाली
rev,फिरना
supreme,सुप्रीम
hang,टांगना
notwithstanding,तिस पर भी
shock,झटका
exception,अपवाद
offering,प्रस्ताव
display,दिखाना
strain,तनाव
drank,पिया
confined,बंद
o,हे
exhausted,थका हुआ
poets,कवियों
sounded,लग रहा था
aim,उद्देश्य
critical,नाजुक
Jerusalem,यरूशलेम
directions,दिशाओं
negro,नीग्रो
fearful,भयभीत
standard,मानक
studied,अध्ययन
bag,थैला
n,एन
buildings,इमारतों
consequences,परिणाम
commenced,शुरू किया
deeper,और गहरा
repeat,दोहराना
driving,ड्राइविंग
beasts,जानवरों
track,संकरा रास्ता
rid,छुटकारा पाना
holds,रखती है
residence,निवास स्थान
steadily,तेजी से
intimate,अन्तरंग
drinking,पीने
swear,कसम खाता
treasure,खजाना
fun,मज़ा
throwing,फेंकने
apt,उपयुक्त
enterprise,उद्यम
queer,विचित्र
seed,बीज
tower,मीनार
runs,रन
defend,रक्षा करना
favourite,पसंदीदा
desires,अरमान
heavily,भारी
assembled,इकट्ठे
existed,अस्तित्व में
depends,निर्भर करता है
poems,कविताओं
hesitated,झिझक
stuff,सामग्री
section,खंड
settlement,समझौता
staring,घूर
sole,एकमात्र
roads,सड़कें
plate,तश्तरी
Mexico,मेक्सिको
overcome,काबू पाना
pains,दर्द
performing,प्रदर्शन
dwell,रहना
grounds,मैदान
taxes,करों
marble,संगमरमर
recently,हाल ही में
tones,टन
ability,योग्यता
awake,जाग
Walter,वॉल्टर
wave,हिलाना
shaking,कंपन
folk,लोक
possibility,संभावना
butter,मक्खन
fury,रोष
marched,मार्च किया हुआ
Moses,मूसा
writes,लेखन
issued,जारी किया गया
sailed,रवाना हुए
instructions,निर्देश
hatred,घृणा
pursuit,तलाश
pull,खींचना
furniture,फर्नीचर
additions,अतिरिक्त
hid,छुपा दिया
rope,रस्सी
vi,छठी
adventure,साहसिक काम
royalty,रॉयल्टी
vanished,गायब हो गई
arts,कला
elder,बड़े
signal,संकेत
wanting,चाहने
supplied,आपूर्ति
feast,दावत
safely,सुरक्षित रूप से
burn,जलाना
describe,वर्णन करना
references,संदर्भ
lesson,पाठ
annual,सालाना
card,कार्ड
passes,गुजरता
application,आवेदन पत्र
intelligent,बुद्धिमान
county,काउंटी
beaten,पराजित
presents,प्रस्तुत करता है
format,प्रारूप
flow,बहे
sixty,साठ
scale,पैमाना
damage,क्षति
marks,निशान
obtaining,प्राप्त करने के
moreover,इसके अतिरिक्त
commerce,व्यापार
startled,चौंका
southern,दक्षिण
consequently,फलस्वरूप
outer,आउटर
belongs,अंतर्गत आता है
ben,बेन
wrought,गढ़ा
average,औसत
naked,नंगा
conducted,संचालित
rivers,नदियों
songs,गीत
obvious,ज़ाहिर
foundation,नींव
concern,चिंता
ceremony,समारोह
magic,जादू
campaign,अभियान
hunting,शिकार करना
Carolina,कैरोलिना
liberal,उदारवादी
whisper,फुसफुसाना
largely,काफी हद तक
commonly,आमतौर पर
torn,फटा हुआ
exists,मौजूद
contributions,योगदान
hunt,शिकार करना
teacher,शिक्षक
Christianity,ईसाई धर्म
lawyer,वकील
operations,संचालन
detail,विवरण
shortly,कुछ ही देर में
Caesar,सीज़र
wondering,सोच
leaders,नेताओं
blessing,दुआ
princess,राजकुमारी
he'd,वह था
altar,वेदी
tenderness,कोमलता
tiny,बहुत छोटा
web,वेब
cardinal,कार्डिनल
sharply,तेज़ी से
regiment,रेजिमेंट
chest,छाती
distinctly,साफ़ तौर पर
purple,बैंगनी
creating,बनाना
gather,इकट्ठा करना
depth,गहराई
indignation,रोष
performance,प्रदर्शन
election,चुनाव
prosperity,समृद्धि
gloomy,उदास
conception,धारणा
clerk,क्लर्क
decide,तय करना
drunk,पिया हुआ
victim,पीड़ित
reflected,प्रतिबिंबित
pour,बहना
preceding,के पिछले
individuals,व्यक्तियों
gazing,एकटक
absurd,बेतुका
lift,उठाना
gesture,हाव-भाव
armies,सेनाओं
limbs,अंग
manage,प्रबंधित करना
brethren,भाई
Hugh,ह्यूग
plays,नाटकों
hastened,तेजी
dragged,घसीटा
motive,प्रेरणा
whatsoever,जो भी
pointing,इशारा
verses,वर्सेज
pronounced,उच्चारण
exchange,लेन देन
definite,निश्चित
emperor,सम्राट
tendency,प्रवृत्ति
remote,दूर
finish,समाप्त
flag,झंडा
Word,शब्द
boots,घुटनों तक पहने जाने वाले जूते
enabled,सक्षम
administration,प्रशासन
denied,इंकार किया
churches,चर्चों
rarely,कभी-कभार
earnestly,ज़ोर देकर
considering,मानते हुए
previously,इससे पहले
ugly,कुरूप
bears,भालू
signed,पर हस्ताक्षर किए
genuine,ईमानदार
harmless,हानिरहित
mingled,मिश्रित
obedience,आज्ञाकारिता
walks,सैर
training,प्रशिक्षण
badly,बुरी तरह
feed,चारा
central,केंद्रीय
contrast,अंतर
relieved,चिंतामुक्त
romance,रोमांस
Mississippi,मिसीसिपी
structure,संरचना
payment,भुगतान
pace,गति
passages,मार्ग
succession,उत्तराधिकार
persuaded,राजी
sources,सूत्रों का कहना है
inquiry,जाँच करना
inspired,प्रेरित किया
angels,स्वर्गदूतों
roll,घूमना
wilt,विल्ट
inch,इंच
troubles,मुसीबतों
perfection,पूर्णता
Lee,ली
wherever,जहां कहीं भी
owe,देनदार होना
handle,सँभालना
advantages,फायदे
trip,यात्रा
shoot,गोली मार
fortunate,भाग्यशाली
newspaper,अखबार
employment,रोज़गार
fitted,फिट
refuge,शरण
misfortune,दुर्भाग्य
providence,मितव्ययिती
owns,मालिक
cutting,काट रहा है
beard,दाढ़ी
stirred,उभारा
tear,आँसू
Dan,सज्जन
resist,विरोध
Bob,बीओबी
depths,गहराई
maiden,कन्या
determine,ठानना
commission,आयोग
merchant,सोदागर
whereas,जबकि
crossing,चौराहा
independence,आजादी
lively,जीवंत
breeze,समीर
provinces,प्रांतों
Jean,जीन
virtues,गुण
conceived,कल्पना
relative,रिश्तेदार
solitary,अकेला
smell,महक
wandering,भटक
thereby,जिसके चलते
eighteen,अठारह
locked,बंद
provision,प्रावधान
courts,न्यायालयों
eaten,खाया
historical,ऐतिहासिक
regarding,संबंधित
Florence,फ़्लोरेंस
preferred,पसंदीदा
pick,चुनना
ruined,बर्बाद होगया
wherein,जिसमें
vanity,घमंड
condemned,निंदा की
deliver,बाँटना
unexpected,अप्रत्याशित
desk,मेज़
gross,कुल
lane,गली
happens,ह ाेती है
represent,प्रतिनिधित्व करना
Billy,बील्ली
root,जड़
Holland,हॉलैंड
mud,कीचड़
respectable,सम्मानित
cleared,को मंजूरी दे दी
feels,महसूस करता
fruits,फल
testimony,गवाही
Milton,मिल्टन
existing,मौजूदा
bride,दुल्हन
rang,बजी
ranks,रैंक
responsibility,ज़िम्मेदारी
beating,मार पीट
disappointed,निराश
suitable,उपयुक्त
depend,निर्भर करना
judges,न्यायाधीशों
giant,बहुत बड़ा
grasp,पकड़
arrive,पहुँचना
simplicity,सादगी
autumn,पतझड़
absent,अनुपस्थित
legally,कानूनी तौर पर
veil,आवरण
gloom,उदासी
doubtful,संदिग्ध
suspect,संदिग्ध व्यक्ति
weapons,"हथियार, शस्त्र"
limits,सीमाएं
determination,दृढ़ निश्चय
feeble,कमज़ोर
prophet,नबी
Shak,शक
gathering,सभा
basis,आधार
examine,की जांच
corrupt,भ्रष्ट
payments,भुगतान
returns,रिटर्न
laying,बिछाना
prize,इनाम
instances,उदाहरणों
Greeks,यूनानियों
d,डी
they're,वे
theatre,थियेटर
purchase,खरीद फरोख्त
comparison,तुलना
composition,संयोजन
rival,प्रतिद्वंद्वी
someone,कोई तो
realize,समझना
defeat,हार
demands,मांगों
foe,शत्रु
shared,साझा
consists,बना होना
studies,अध्ययन करते हैं
balance,संतुलन
intercourse,संभोग
ID,पहचान
forming,गठन
slender,पतला
coach,प्रशिक्षक
criminal,आपराधिक
knocked,दस्तक दी
silly,नासमझ
humour,हास्य
masses,जनता
indifferent,उदासीन
recall,याद करना
occupation,व्यवसाय
discourse,प्रवचन
keeps,रखता है
regions,क्षेत्रों
intervals,अंतराल
assist,सहायता देना
novel,उपन्यास
intellect,बुद्धि
leads,सुराग
hither,इधर
tales,कहानियों
sale,बिक्री
revenge,बदला
Lucy,लुसी
yonder,उधर
resources,साधन
jealous,ईर्ष्यालु
we're,थे
wheel,चक्र
invitation,आमंत्रण
narrative,कथा
risen,उठी पं
burnt,जला हुआ
sentiments,भावनाओं
inferior,अवर
amusement,मनोरंजन
Marie,मैरी
flash,चमक
recognize,पहचानना
swiftly,तेजी से
portrait,चित्र
create,सृजन करना
summoned,बुलायी गयी
suggest,सुझाव देना
induced,प्रेरित किया
conflict,टकराव
fed,सिंचित
curse,अभिशाप
disappointment,निराशा
helpless,मजबूर
preparing,तैयार कर रहे हैं
construction,निर्माण
Lincoln,लिंकन
zeal,उत्साह
responsible,उत्तरदायी
indicated,संकेत
groups,समूहों
positive,सकारात्मक
Germans,जर्मनों
attracted,आकर्षित
vengeance,प्रतिशोध
fort,किला
club,क्लब
cure,इलाज
stout,स्टाउट
missed,चुक होना
gracious,विनीत
include,शामिल
flood,बाढ़
satisfy,संतुष्ट करना
agony,पीड़ा
respects,सम्मान
ventured,कदम
implied,गर्भित
Maria,मारिया
stupid,बेवकूफ
seas,सागरों
Spaniards,स्पेन
grain,अनाज
enjoyment,गुल खिलना
wearing,पहना हुआ
indifference,उदासीनता
conceal,छिपाना
horizon,क्षितिज
pleasures,सुख
therein,यहां
precisely,यकीनन
Canada,कनाडा
day's,दिन
assume,मान लेना
registered,दर्ज कराई
estimate,आकलन
steep,सीधी चढ़ाई
route,रास्ता
gardens,गार्डन
visitor,आगंतुक
closer,करीब
harmony,समन्वय
non,गैर
thunder,बिजली
wire,तार
graceful,सुंदर
crept,रेंगना
Greece,यूनान
childhood,बचपन
knee,घुटना
saddle,सैडल
supplies,आपूर्ति
weeping,रोना
mostly,अधिकतर
paragraphs,पैराग्राफ
unconscious,अचेत
mutual,परस्पर
scorn,घिन आना
grows,उगता है
external,बाहरी
agents,एजेंटों
software,सॉफ़्टवेयर
institutions,संस्थानों
losing,हारी
universe,ब्रम्हांड
clock,घड़ी
attempts,प्रयास
instruction,अनुदेश
injury,चोट
roots,जड़ों
receipt,रसीद
jumped,कूद
dearest,प्यारे
sore,घाव
earliest,जल्द से जल्द
finest,बेहतरीन
enable,सक्षम करना
discipline,अनुशासन
motives,इरादों
fastened,जकड़ा हुआ।
introduction,परिचय
converted,परिवर्तित
wilderness,जंगल
confused,अस्पष्ट
fancied,अनुमान
offices,कार्यालयों
slip,पर्ची
revolution,क्रांति
wedding,शादी
girl's,लड़कियाँ
farmer,किसान
silently,दिल ही दिल में
fires,आग
wept,रोने लगा
behalf,ओर से
reckon,मानना
responded,प्रतिक्रिया व्यक्त की
uncertain,ढुलमुल
neglected,नजरअंदाज कर दिया
stroke,आघात
exquisite,उत्कृष्ट
engagement,सगाई
dirty,गंदा
rolling,रोलिंग
platform,प्लैटफ़ॉर्म
messenger,दूत
privilege,विशेषाधिकार
admirable,प्रशंसनीय
offers,प्रस्तावों
mischief,शरारत
physician,चिकित्सक
imposed,थोपा
organized,का आयोजन किया
covering,कवर
student,छात्र
daring,साहसी
cave,गुफ़ा
wars,युद्धों
convey,बताना
he'll,नरक
sincere,ईमानदार
tradition,परंपरा
gravely,गंभीरता से
combined,संयुक्त
gallant,वीर
sensation,सनसनी
travelling,यात्रा का
charges,प्रभार
submit,प्रस्तुत
tragedy,त्रासदी
specific,विशिष्ट
commander,कमांडर
inn,सराय
stiff,अकड़न
accompany,साथ
score,अंक
virgin,कुमारी
farewell,बिदाई
paradise,स्वर्ग
villages,गांवों
hunger,भूख
trembled,कांप
favorite,पसंदीदा
criticism,आलोचना
proprietary,संपदा
customs,प्रथाएँ
cotton,कपास
Ruth,दया
hospital,अस्पताल
restrictions,प्रतिबंध
outward,बाहर
impressed,प्रभावित किया
blows,चल रही है
plains,मैदानों
flashed,फ्लैश
rent,किराया
prey,शिकार करना
owed,बकाया
longing,लालसा
musical,संगीत
satisfactory,संतोषजनक
ridiculous,हास्यास्पद
sheet,चादर
disgrace,अपमान
colored,रंगीन
shouldn't,नहीं करना चाहिए
originally,मौलिक रूप से
Samuel,शमूएल
wages,वेतन
papa,पिताजी
gas,गैस
inevitable,अपरिहार्य
extensive,बहुत बड़ा
leisure,फुर्सत
deadly,घातक
chin,ठोड़ी
claimed,दावा किया
glow,चमकना
husband's,पति का
emotions,भावनाएँ
Adam,एडम
jealousy,डाह करना
leaf,पत्ती
publication,प्रकाशन
Englishman,अंग्रेज़
Allah,अल्लाह
Jones,जोन्स
hostile,विरोधी
wandered,फिरते
railway,रेलवे
translation,अनुवाद
procession,जुलूस
betrayed,धोखा दिया
pound,पाउंड
admired,प्रशंसा की
elected,चुने हुए
Pierre,पियरे
sunk,डूब
ruins,खंडहर
eastern,पूर्व का
roses,गुलाब के फूल
citizen,नागरिक
reminded,याद दिलाया
deceived,धोखा
tables,टेबल
beach,सागरतट
starting,शुरुआत
funeral,मैयत
arrested,गिरफ्तार
flour,आटा
feature,विशेषता
correspondence,पत्र-व्यवहार
consisted,शामिल
counted,गिना हुआ
reserve,संरक्षित
proceedings,कार्यवाही
roar,गर्जन
romantic,प्रेम प्रसंगयुक्त
twenty-five,पच्चीस
hut,झोपड़ी
strangely,अजीब
absorbed,को अवशोषित
propose,प्रस्ताव
seats,सीटों
bark,भौंकना
reception,स्वागत समारोह
pleasing,मनभावन
attained,प्राप्त
wake,जागना
research,अनुसंधान
prayed,प्रार्थना की
monarch,सम्राट
clothing,कपड़े
dollar,डॉलर
illness,बीमारी
calmly,शांति से
obeyed,आज्ञा का पालन किया
heartily,दिल से
pressing,दबाना
daylight,दिन का प्रकाश
warriors,योद्धा की
jest,हंसी
abruptly,एकाएक
washed,धोया
comment,टिप्पणी
metal,धातु
preparations,तैयारी
nerves,तंत्रिकाओं
solution,समाधान
pretended,नाटक
sixteen,सोलह
assembly,सभा
tobacco,तंबाकू
entity,कंपनी
dwelling,आवास
depart,रवाना होना
swung,आ गया
bitterly,कटु
alteration,परिवर्तन
colony,कालोनी
disclaimers,अस्वीकरण
wing,विंग
peaceful,शांतिपूर्ण
lion,सिंह
opportunities,अवसर
alarmed,चिंतित
furnish,प्रस्तुत
resting,आराम
accused,दोषी
culture,संस्कृति
writings,लेखन
dwelt,डेरा
conquered,विजय प्राप्त की
trick,छल
trusted,भरोसा
column,कॉलम
financial,वित्तीय
cunning,धूर्त
preparation,तैयारी
drama,नाटक
joke,मज़ाक
entertained,मनोरंजन
mist,कुहासा
hypertext,हाइपरटेक्स्ट
shell,सीप
medicine,दवा
proofread,ठीक करना
nest,घोंसला
reverence,श्रद्धा
situated,पर स्थित
yielded,झुकेंगे
conceive,गर्भ धारण
appointment,नियुक्ति
lessons,पाठ
fetch,लाना
tomb,मकबरे
candle,मोमबत्ती
offence,अपराध
coarse,खुरदुरा
heap,ढेर
mixture,मिश्रण
homes,घरों
model,नमूना
men's,पुरुषों के लिए
defect,दोष
destined,किस्मत
occasional,प्रासंगिक
fourteen,चौदह
hint,संकेत देना
knights,शूरवीरों
solicit,मांगना
dreamed,सपना देखा
objection,आपत्ति
craft,शिल्प
acid,अम्ल
namely,यानी
Asia,एशिया
neglect,उपेक्षा करना
data,जानकारी
weapon,हथियार
confessed,कबूल कर लिया
arrangements,व्यवस्था
repose,विश्राम
complying,अनुपालन करने
copied,की नकल की
pink,गुलाबी
user,उपयोगकर्ता
heels,हील
grandfather,दादा
other's,अन्य
income,आय
i.e.,अर्थात।
regards,सादर
streams,धाराओं
vigorous,ज़ोरदार
accepting,स्वीकार करना
bishop,बिशप
lightning,आकाशीय बिजली
authors,लेखकों
flames,आग की लपटों
observations,टिप्पणियों
compressed,दबा हुआ
sport,खेल
powder,पाउडर
beds,बेड
orange,संतरा
painting,चित्र
shout,चिल्लाना
Austria,ऑस्ट्रिया
bath,स्नान
careless,लापरवाह
chap,बच्चू
derivative,यौगिक
roused,जगी
primitive,प्राचीन
doorway,द्वार
climbed,चढ़ गया
volumes,संस्करणों
vulgar,अशिष्ट
arguments,बहस
1st,1
sunset,सूर्यास्त
convenient,सुविधाजनक
mail,मेल
recalled,को याद किया
wrapped,लपेटा हुआ
abode,निवास
planted,लगाए
paint,रंग
surrender,हार मान लेना
establish,स्थापित करना
mild,सौम्य
promptly,तत्काल
appearing,उपस्थिति
department,विभाग
parish,पल्ली
Stephen,स्टीफन
nay,अस्वीकार
lit,ज्योतिर्मय
handkerchief,रूमाल
basket,टोकरी
easier,आसान
deserve,योग्य होना
quit,छोड़ना
assurance,बीमा
mirror,दर्पण
plot,भूखंड
yer,यार
upward,ऊपर की ओर
sadly,अफसोस की बात है
secretary,सचिव
adding,जोड़ने
modest,मामूली
dish,व्यंजन
cares,चिन्ताओं
straw,स्ट्रॉ
net,जाल
advised,सलाह दी
heavenly,स्वर्गीय
largest,विशालतम
proceeding,कार्यवाही
impatient,बेताब
wounds,घाव
warmth,गरमाहट
certainty,यक़ीन
restless,बेचेन होना
meantime,इसी बीच
rays,किरणों
salvation,मोक्ष
lovers,प्रेमियों
experiment,प्रयोग
shores,शोर्स
today,आज
tremendous,अद्भुत
afforded,समर्थ बनाया
moonlight,चांदनी
intend,इरादा रखना
California,कैलिफोर्निया
cultivated,खेती
flushed,प्लावित
Shakespeare,शेक्सपियर
newspapers,समाचार पत्र
rocky,चट्टान का
pious,धर्मनिष्ठ
wont,नहीं होगा
steam,भाप
improvement,सुधार
garments,गारमेंट्स
Ned,नेड
treasury,ख़ज़ाना
merchants,व्यापारियों
perpetual,लगातार
trained,प्रशिक्षित
products,उत्पादों
affectionate,स्नेही
dispute,विवाद
visitors,आगंतुकों
poison,ज़हर
proposition,प्रस्ताव
maybe,शायद
rifle,राइफल
warned,आगाह
parting,जुदाई
shield,कवच
erected,निर्माण किया
employ,काम
prevailed,प्रबल
talent,प्रतिभा
rises,उगना
climate,जलवायु
chairs,कुर्सियों
searched,खोजे गए
unlike,भिन्न
recover,वापस पाना
mate,दोस्त
arrange,व्यवस्थित करना
fortunes,किस्मत
puzzled,हैरान
committee,समिति
aged,वृद्ध
Ohio,ओहियो
ashes,राख
ghost,भूत
b,बी
promises,वादे
bushes,झाड़ियाँ
effective,प्रभावी
distinguish,अंतर करना
manifest,घोषणापत्र
comparatively,अपेक्षाकृत
esteem,आदर
blew,विस्फोट से उड़ा दिया
revelation,रहस्योद्घाटन
wash,धोना
recognition,मान्यता
confession,स्वीकारोक्ति
clay,चिकनी मिट्टी
nonsense,बकवास
trunk,सूँ ढ
management,प्रबंधन
undoubtedly,निश्चित रूप से
dried,सूखा
Dorothy,डोरोथी
chiefs,प्रमुखों
coal,कोयला
stolen,चुराया हुआ
earthly,सांसारिक
restore,पुनर्स्थापित करना
indirectly,परोक्ष रूप से
lasted,चली
selfish,स्वार्थी
renewed,नवीकृत
canoe,डोंगी
protest,विरोध
vice,उपाध्यक्ष
races,दौड़
deemed,मानना
temporary,अस्थायी
pile,बवासीर
Frederick,फ्रेडरिक
chapel,चैपल
moderate,संतुलित
spell,बोलना
Massachusetts,मैसाचुसेट्स
upright,ईमानदार
quoted,उद्धृत
area,क्षेत्र
bone,हड्डी
solitude,अकेलापन
instruments,उपकरणों
formal,औपचारिक
students,छात्रों
greatness,महानता
struggling,संघर्षरत
Monday,सोमवार
reproach,तिरस्कार
altered,बदल
grim,विकट
leaped,उछल
Venice,वेनिस
federal,संघीय
questioned,पर सवाल उठाया
editor,संपादक
desirable,वांछित
acknowledge,स्वीकार करना
motionless,स्तब्ध
remedy,निदान
bestowed,कोताही
pursue,पाने की कोशिश करना
representative,प्रतिनिधि
pole,खंभा
gladly,ख़ुशी से
linen,सनी
vital,महत्वपूर्ण
sink,डूबना
pacific,शांत
hopeless,निराशाजनक
dangers,खतरों
gratefully,कृतज्ञता से
president,राष्ट्रपति
travelled,कूच
ward,बालक
nephew,भांजा
ms,एमएस
cheer,खुश करना
bloody,रक्तरंजित
siege,घेराबंदी
commands,आदेशों
justified,न्याय हित
Atlantic,अटलांटिक
stomach,पेट
improved,उन्नत
admire,प्रशंसा करना
openly,खुले तौर पर
sailors,नाविकों
abide,पालन ​​करना
advancing,आगे बढ़ाने
forests,जंगलों
records,अभिलेख
Polly,पोली
recorded,रिकॉर्डेड
modification,परिवर्तन
dramatic,नाटकीय
statements,बयान
upstairs,ऊपर
varied,विभिन्न
letting,दे
Wilson,विल्सन
comrades,कामरेड
sets,सेट]]
descent,चढ़ाई
whither,कहाँ
envy,ईर्ष्या
load,भार
pretend,दिखावा करना
folded,मुड़ा हुआ
brass,पीतल
internal,आंतरिक
furious,आगबबूला
curtain,परदा
healthy,स्वस्थ
obscure,दुर्बोध
summit,बैठक
alas,हाय
fifth,पांचवां
center,केंद्र
faced,का सामना करना पड़ा
cheap,सस्ता
saints,साधू संत
colonel,कर्नल
Egyptian,मिस्र के
contest,प्रतियोगिता
owned,स्वामित्व
adventures,एडवेंचर्स
exclusion,बहिष्करण
seize,को जब्त
chances,संभावना
springs,स्प्रिंग्स
alter,बदलने
landing,अवतरण
fence,बाड़
leagues,लीग
glimpse,झलक
statue,मूर्ति
contract,अनुबंध
luxury,विलासिता
artillery,तोपें
doubts,संदेह
saving,सहेजा जा रहा है
fro,इधर-उधर
string,डोरी
combination,संयोजन
awakened,जागृत
faded,फीका
arrest,गिरफ़्तार करना
