signed,पर हस्ताक्षर किए
genuine,ईमानदार
harmless,हानिरहित
mingled,मिश्रित
walks,सैर
training,प्रशिक्षण
badly,बुरी तरह
feed,चारा
central,केंद्रीय
contrast,अंतर
relieved,चिंतामुक्त
Mississippi,मिसीसिपी
structure,संरचना
payment,भुगतान
pace,गति
passages,मार्ग
succession,उत्तराधिकार
persuaded,राजी
inquiry,जाँच करना
inspired,प्रेरित किया
angels,स्वर्गदूतों
roll,घूमना
wilt,विल्ट
inch,इंच
troubles,मुसीबतों
perfection,पूर्णता
Lee,ली
wherever,जहां कहीं भी
owe,देनदार होना
handle,सँभालना
advantages,फायदे
shoot,गोली मार
newspaper,अखबार
employment,रोज़गार
fitted,फिट
refuge,शरण
misfortune,दुर्भाग्य
providence,मितव्ययिती
cutting,काट रहा है
beard,दाढ़ी
stirred,उभारा
tear,आँसू
Dan,सज्जन
resist,विरोध
depths,गहराई
maiden,कन्या
determine,ठानना
commission,आयोग
merchant,सोदागर
whereas,जबकि
crossing,चौराहा
lively,जीवंत
breeze,समीर
provinces,प्रांतों
Jean,जीन
virtues,गुण
conceived,कल्पना
relative,रिश्तेदार
solitary,अकेला
smell,महक
wandering,भटक
thereby,जिसके चलते
eighteen,अठारह
locked,बंद
provision,प्रावधान
courts,न्यायालयों
eaten,खाया
historical,ऐतिहासिक
regarding,संबंधित
Florence,फ़्लोरेंस
preferred,पसंदीदा
pick,चुनना
ruined,बर्बाद होगया
wherein,जिसमें
vanity,घमंड
condemned,निंदा की
unexpected,अप्रत्याशित
gross,कुल
lane,गली
happens,ह ाेती है
represent,प्रतिनिधित्व करना
Billy,बील्ली
root,जड़
Holland,हॉलैंड
mud,कीचड़
respectable,सम्मानित
feels,महसूस करता
fruits,फल
testimony,गवाही
Milton,मिल्टन
existing,मौजूदा
bride,दुल्हन
rang,बजी
ranks,रैंक
responsibility,ज़िम्मेदारी
beating,मार पीट
disappointed,निराश
suitable,उपयुक्त
depend,निर्भर करना
judges,न्यायाधीशों
giant,बहुत बड़ा
grasp,पकड़
arrive,पहुँचना
simplicity,सादगी
autumn,पतझड़
absent,अनुपस्थित
legally,कानूनी तौर पर
veil,आवरण
gloom,उदासी
doubtful,संदिग्ध
suspect,संदिग्ध व्यक्ति
weapons,"हथियार, शस्त्र"
limits,सीमाएं
determination,दृढ़ निश्चय
feeble,कमज़ोर
prophet,नबी
Shak,शक
gathering,सभा
basis,आधार
examine,की जांच
corrupt,भ्रष्ट
payments,भुगतान
returns,रिटर्न
laying,बिछाना
prize,इनाम
instances,उदाहरणों
they're,वे
theatre,थियेटर
comparison,तुलना
composition,संयोजन
rival,प्रतिद्वंद्वी
someone,कोई तो
realize,समझना
defeat,हार
demands,मांगों
foe,शत्रु
shared,साझा
studies,अध्ययन करते हैं
balance,संतुलन
ID,पहचान
forming,गठन
slender,पतला
coach,प्रशिक्षक
criminal,आपराधिक
knocked,दस्तक दी
silly,नासमझ
humour,हास्य
masses,जनता
indifferent,उदासीन
occupation,व्यवसाय
discourse,प्रवचन
keeps,रखता है
regions,क्षेत्रों
intervals,अंतराल
assist,सहायता देना
novel,उपन्यास
intellect,बुद्धि
hither,इधर
sale,बिक्री
revenge,बदला
Lucy,लुसी
yonder,उधर
resources,साधन
jealous,ईर्ष्यालु
we're,थे
wheel,चक्र
invitation,आमंत्रण
narrative,कथा
risen,उठी पं
burnt,जला हुआ
sentiments,भावनाओं
inferior,अवर
amusement,मनोरंजन
Marie,मैरी
flash,चमक
recognize,पहचानना
swiftly,तेजी से
portrait,चित्र
create,सृजन करना
summoned,बुलायी गयी
suggest,सुझाव देना
induced,प्रेरित किया
fed,सिंचित
curse,अभिशाप
disappointment,निराशा
helpless,मजबूर
preparing,तैयार कर रहे हैं
construction,निर्माण
Lincoln,लिंकन
zeal,उत्साह
responsible,उत्तरदायी
indicated,संकेत
groups,समूहों
positive,सकारात्मक
attracted,आकर्षित
vengeance,प्रतिशोध
fort,किला
club,क्लब
cure,इलाज
stout,(of a person) rather fat or of heavy build
missed,चुक होना
gracious,विनीत
include,शामिल
flood,बाढ़
satisfy,संतुष्ट करना
agony,पीड़ा
respects,सम्मान
ventured,कदम
implied,गर्भित
Maria,मारिया
stupid,बेवकूफ
seas,सागरों
Spaniards,स्पेन
grain,अनाज
enjoyment,गुल खिलना
wearing,पहना हुआ
indifference,उदासीनता
conceal,छिपाना
horizon,क्षितिज
pleasures,सुख
therein,यहां
precisely,यकीनन
Canada,कनाडा
day's,दिन
registered,दर्ज कराई
estimate,roughly calculate or judge the value or number or quantity or extent of
steep,सीधी चढ़ाई
closer,करीब
harmony,समन्वय
non,गैर
wire,तार
graceful,सुंदर
crept,रेंगना
Greece,यूनान
childhood,बचपन
knee,घुटना
saddle,सैडल
supplies,आपूर्ति
weeping,रोना
mostly,अधिकतर
paragraphs,पैराग्राफ
unconscious,अचेत
mutual,परस्पर
scorn,घिन आना
grows,उगता है
external,बाहरी
agents,एजेंटों
software,सॉफ़्टवेयर
institutions,संस्थानों
losing,हारी
universe,ब्रम्हांड
clock,घड़ी
attempts,प्रयास
instruction,अनुदेश
injury,चोट
dearest,प्यारे
sore,घाव
earliest,जल्द से जल्द
enable,सक्षम करना
discipline,अनुशासन
motives,इरादों
fastened,जकड़ा हुआ।
introduction,परिचय
converted,परिवर्तित
wilderness,जंगल
confused,अस्पष्ट
fancied,अनुमान
offices,कार्यालयों
slip,पर्ची
wedding,शादी
girl's,लड़कियाँ
farmer,किसान
fires,आग
wept,रोने लगा
behalf,ओर से
reckon,मानना
responded,प्रतिक्रिया व्यक्त की
uncertain,ढुलमुल
neglected,नजरअंदाज कर दिया
stroke,आघात
exquisite,उत्कृष्ट
engagement,सगाई
dirty,गंदा
rolling,रोलिंग
platform,प्लैटफ़ॉर्म
messenger,दूत
privilege,a special right or advantage that only one person or group has
admirable,प्रशंसनीय
offers,प्रस्तावों
mischief,शरारत
physician,चिकित्सक
imposed,थोपा
organized,का आयोजन किया
covering,कवर
student,छात्र
daring,साहसी
wars,युद्धों
convey,बताना
sincere,ईमानदार
tradition,परंपरा
gravely,गंभीरता से
combined,संयुक्त
gallant,वीर
sensation,सनसनी
travelling,यात्रा का
charges,प्रभार
submit,प्रस्तुत
tragedy,त्रासदी
specific,विशिष्ट
commander,कमांडर
inn,सराय
stiff,अकड़न
accompany,साथ
score,अंक
virgin,कुमारी
farewell,बिदाई
paradise,स्वर्ग
villages,गांवों
hunger,भूख
trembled,कांप
favorite,पसंदीदा
criticism,आलोचना
proprietary,संपदा
customs,प्रथाएँ
cotton,कपास
Ruth,दया
hospital,अस्पताल
restrictions,प्रतिबंध
outward,बाहर
impressed,प्रभावित किया
blows,चल रही है
plains,मैदानों
flashed,फ्लैश
rent,किराया
prey,शिकार करना
owed,बकाया
longing,लालसा
satisfactory,संतोषजनक
ridiculous,हास्यास्पद
sheet,चादर
colored,रंगीन
shouldn't,नहीं करना चाहिए
originally,मौलिक रूप से
Samuel,शमूएल
wages,वेतन
papa,पिताजी
gas,गैस
inevitable,अपरिहार्य
extensive,बहुत बड़ा
leisure,फुर्सत
deadly,घातक
chin,ठोड़ी
claimed,दावा किया
glow,चमकना
husband's,पति का
emotions,भावनाएँ
Adam,एडम
leaf,पत्ती
publication,प्रकाशन
Allah,अल्लाह
Jones,जोन्स
hostile,विरोधी
wandered,फिरते
railway,रेलवे
translation,अनुवाद
procession,जुलूस
pound,पाउंड
admired,प्रशंसा की
elected,चुने हुए
Pierre,पियरे
sunk,डूब
ruins,खंडहर
eastern,पूर्व का
roses,गुलाब के फूल
citizen,नागरिक
reminded,याद दिलाया
deceived,धोखा
tables,टेबल
beach,सागरतट
starting,शुरुआत
funeral,मैयत
arrested,गिरफ्तार
feature,विशेषता
correspondence,a close connection or relationship between two or more things
consisted,शामिल
counted,गिना हुआ
reserve,संरक्षित
proceedings,कार्यवाही
romantic,प्रेम प्रसंगयुक्त
twenty-five,पच्चीस
hut,झोपड़ी
strangely,अजीब
absorbed,को अवशोषित
propose,प्रस्ताव
seats,सीटों
bark,भौंकना
reception,स्वागत समारोह
pleasing,मनभावन
attained,प्राप्त
wake,जागना
research,अनुसंधान
prayed,प्रार्थना की
monarch,सम्राट
clothing,कपड़े
dollar,डॉलर
illness,बीमारी
obeyed,आज्ञा का पालन किया
heartily,दिल से
pressing,दबाना
daylight,दिन का प्रकाश
warriors,योद्धा की
jest,हंसी
abruptly,एकाएक
washed,धोया
comment,टिप्पणी
metal,धातु
preparations,तैयारी
nerves,तंत्रिकाओं
sixteen,सोलह
assembly,सभा
tobacco,तंबाकू
entity,कंपनी
dwelling,आवास
swung,आ गया
bitterly,कटु
alteration,परिवर्तन
colony,कालोनी
disclaimers,अस्वीकरण
wing,विंग
peaceful,शांतिपूर्ण
opportunities,अवसर
alarmed,चिंतित
furnish,प्रस्तुत
resting,आराम
accused,दोषी
culture,संस्कृति
dwelt,डेरा
conquered,विजय प्राप्त की
trick,छल
trusted,भरोसा
column,कॉलम
financial,वित्तीय
cunning,धूर्त
preparation,तैयारी
drama,नाटक
joke,मज़ाक
entertained,मनोरंजन
mist,कुहासा
hypertext,हाइपरटेक्स्ट
shell,सीप
medicine,दवा
proofread,ठीक करना
nest,घोंसला
reverence,श्रद्धा
situated,पर स्थित
yielded,झुकेंगे
conceive,गर्भ धारण
appointment,नियुक्ति
lessons,पाठ
fetch,लाना
tomb,मकबरे
candle,मोमबत्ती
offence,अपराध
coarse,खुरदुरा
heap,ढेर
mixture,मिश्रण
homes,घरों
model,नमूना
men's,पुरुषों के लिए
defect,दोष
occasional,प्रासंगिक
fourteen,चौदह
knights,शूरवीरों
solicit,मांगना
dreamed,सपना देखा
objection,आपत्ति
craft,शिल्प
acid,अम्ल
namely,यानी
Asia,एशिया
neglect,उपेक्षा करना
data,जानकारी
confessed,कबूल कर लिया
arrangements,व्यवस्था
repose,विश्राम
complying,अनुपालन करने
copied,की नकल की
user,उपयोगकर्ता
heels,हील
grandfather,दादा
other's,अन्य
income,आय
i.e.,अर्थात।
regards,सादर
streams,धाराओं
vigorous,ज़ोरदार
accepting,स्वीकार करना
bishop,बिशप
authors,लेखकों
flames,आग की लपटों
observations,टिप्पणियों
compressed,दबा हुआ
sport,खेल
powder,पाउडर
beds,बेड
orange,संतरा
shout,चिल्लाना
Austria,ऑस्ट्रिया
bath,स्नान
careless,लापरवाह
chap,बच्चू
derivative,यौगिक
roused,जगी
primitive,प्राचीन
doorway,द्वार
climbed,चढ़ गया
volumes,संस्करणों
vulgar,अशिष्ट
arguments,बहस
1st,1
sunset,सूर्यास्त
convenient,सुविधाजनक
mail,मेल
recalled,को याद किया
wrapped,लपेटा हुआ
abode,निवास
planted,लगाए
paint,रंग
surrender,हार मान लेना
establish,स्थापित करना
mild,सौम्य
promptly,तत्काल
department,विभाग
parish,पल्ली
Stephen,स्टीफन
nay,अस्वीकार
lit,ज्योतिर्मय
handkerchief,रूमाल
basket,टोकरी
deserve,योग्य होना
assurance,बीमा
mirror,दर्पण
plot,भूखंड
yer,यार
upward,ऊपर की ओर
sadly,अफसोस की बात है
secretary,सचिव
adding,जोड़ने
modest,मामूली
dish,व्यंजन
cares,चिन्ताओं
straw,स्ट्रॉ
net,जाल
heavenly,स्वर्गीय
largest,विशालतम
proceeding,कार्यवाही
impatient,बेताब
warmth,गरमाहट
certainty,यक़ीन
restless,बेचेन होना
meantime,इसी बीच
rays,किरणों
salvation,मोक्ष
lovers,प्रेमियों
experiment,प्रयोग
shores,शोर्स
today,आज
tremendous,अद्भुत
afforded,समर्थ बनाया
moonlight,चांदनी
intend,इरादा रखना
California,कैलिफोर्निया
cultivated,खेती
flushed,प्लावित
Shakespeare,शेक्सपियर
newspapers,समाचार पत्र
rocky,चट्टान का
pious,धर्मनिष्ठ
wont,नहीं होगा
steam,भाप
improvement,सुधार
garments,गारमेंट्स
Ned,नेड
treasury,ख़ज़ाना
merchants,व्यापारियों
perpetual,लगातार
trained,प्रशिक्षित
products,उत्पादों
affectionate,स्नेही
dispute,विवाद
poison,ज़हर
proposition,प्रस्ताव
maybe,शायद
rifle,राइफल
warned,आगाह
parting,जुदाई
erected,निर्माण किया
employ,काम
prevailed,प्रबल
talent,प्रतिभा
rises,उगना
climate,जलवायु
chairs,कुर्सियों
searched,खोजे गए
unlike,भिन्न
recover,वापस पाना
mate,दोस्त
arrange,व्यवस्थित करना
fortunes,किस्मत
puzzled,हैरान
committee,समिति
aged,वृद्ध
Ohio,ओहियो
ashes,राख
ghost,भूत
b,बी
promises,वादे
bushes,झाड़ियाँ
effective,प्रभावी
distinguish,अंतर करना
manifest,घोषणापत्र
comparatively,अपेक्षाकृत
esteem,आदर
blew,विस्फोट से उड़ा दिया
revelation,रहस्योद्घाटन
wash,धोना
recognition,मान्यता
confession,स्वीकारोक्ति
clay,चिकनी मिट्टी
nonsense,बकवास
trunk,सूँ ढ
management,प्रबंधन
undoubtedly,निश्चित रूप से
dried,सूखा
Dorothy,डोरोथी
chiefs,प्रमुखों
coal,कोयला
stolen,चुराया हुआ
earthly,सांसारिक
restore,पुनर्स्थापित करना
indirectly,परोक्ष रूप से
lasted,चली
selfish,स्वार्थी
renewed,नवीकृत
canoe,डोंगी
protest,विरोध
vice,उपाध्यक्ष
races,दौड़
deemed,मानना
temporary,अस्थायी
pile,बवासीर
Frederick,फ्रेडरिक
chapel,a small building or room used for Christian worship in a school or prison or hospital or large private house
moderate,संतुलित
spell,बोलना
Massachusetts,मैसाचुसेट्स
upright,ईमानदार
quoted,उद्धृत
area,क्षेत्र
bone,हड्डी
solitude,अकेलापन
instruments,उपकरणों
formal,औपचारिक
students,छात्रों
greatness,महानता
struggling,संघर्षरत
Monday,सोमवार
reproach,तिरस्कार
altered,बदल
grim,विकट
leaped,उछल
Venice,वेनिस
federal,संघीय
questioned,पर सवाल उठाया
desirable,वांछित
acknowledge,स्वीकार करना
motionless,स्तब्ध
remedy,निदान
bestowed,कोताही
pursue,पाने की कोशिश करना
representative,प्रतिनिधि
pole,खंभा
gladly,ख़ुशी से
linen,सनी
vital,महत्वपूर्ण
sink,डूबना
pacific,शांत
hopeless,निराशाजनक
dangers,खतरों
gratefully,कृतज्ञता से
president,राष्ट्रपति
travelled,कूच
nephew,भांजा
ms,एमएस
cheer,खुश करना
bloody,रक्तरंजित
siege,घेराबंदी
commands,आदेशों
justified,न्याय हित
Atlantic,अटलांटिक
stomach,पेट
improved,उन्नत
admire,प्रशंसा करना
openly,खुले तौर पर
sailors,नाविकों
abide,पालन ​​करना
advancing,आगे बढ़ाने
forests,जंगलों
records,अभिलेख
Polly,पोली
recorded,रिकॉर्डेड
modification,परिवर्तन
dramatic,नाटकीय
upstairs,ऊपर
varied,विभिन्न
letting,दे
Wilson,विल्सन
comrades,कामरेड
sets,collection
descent,चढ़ाई
whither,कहाँ
envy,ईर्ष्या
load,भार
pretend,दिखावा करना
folded,मुड़ा हुआ
brass,पीतल
internal,आंतरिक
furious,आगबबूला
healthy,स्वस्थ
obscure,दुर्बोध
summit,बैठक
alas,हाय
fifth,पांचवां
center,केंद्र
faced,का सामना करना पड़ा
cheap,सस्ता
saints,साधू संत
colonel,कर्नल
Egyptian,मिस्र के
contest,प्रतियोगिता
owned,स्वामित्व
adventures,एडवेंचर्स
exclusion,बहिष्करण
seize,को जब्त
chances,संभावना
springs,स्प्रिंग्स
alter,बदलने
landing,अवतरण
fence,बाड़
leagues,लीग
glimpse,झलक
statue,मूर्ति
contract,अनुबंध
luxury,विलासिता
artillery,तोपें
doubts,संदेह
saving,सहेजा जा रहा है
fro,इधर-उधर
string,डोरी
combination,संयोजन
awakened,जागृत
faded,फीका
arrest,गिरफ़्तार करना
protected,संरक्षित
strict,कठोर
contented,संतुष्ट
professional,पेशेवर
intent,इरादा
brother's,भाई बंधु
injured,चोट खाया हुआ
neighborhood,अड़ोस-पड़ोस
abundance,प्रचुरता
smoking,धूम्रपान
yourselves,स्वयं
medical,चिकित्सा
garrison,गढ़ में सेना
likes,को यह पसंद है
corps,कोर
heroic,वीर रस
inform,बताना
wife's,पत्नी का
retained,बनाए रखा
agitation,घबराहट
nobles,रईसों
prominent,प्रमुख
institution,संस्थान
judged,न्याय
embrace,अपनाना
wheels,पहियों
closing,समापन
damaged,क्षतिग्रस्त
pack,सामान बाँधना
affections,प्यार
eldest,ज्येष्ठ
anguish,पीड़ा
surrounding,आस-पास का
obviously,स्पष्टतः
strictly,सख्ती से
capture,कब्जा
drops,ड्रॉप
inquire,पूछताछ
ample,प्रचुर
justly,उचित रूप में
deer,हिरन
answers,जवाब
bedroom,शयनकक्ष
purely,विशुद्ध रूप से
bush,झाड़ी
plunged,कूद पड़े
thyself,अपने आप को
joint,संयुक्त
refer,उद्घृत करना
expecting,उम्मीद
madam,महोदया
railroad,रेल
spake,कह ही रहा था
respecting,सम्मान
Jan,जनवरी
columns,कॉलम
identify,पहचानना
discharge,स्राव होना
bench,बेंच
Ralph,राल्फ
heir,वारिस
oak,बलूत
rescue,बचाव
limit,सीमा
unpleasant,अप्रिय
anxiously,उद्वेग से
awoke,जागा
expectation,अपेक्षा
incomplete,अधूरा
reserved,आरक्षित
secretly,चोरी चुपके
we've,हमने
invention,आविष्कार
faults,दोष
disagreeable,अप्रिय
piano,पियानो
defeated,हारा हुआ
charms,आकर्षण
purse,बटुआ
persuade,राज़ी करना
deprived,वंचित
endless,अनंत
interval,मध्यान्तर
chase,पीछा करना
heroes,नायकों
invisible,अदृश्य
well-known,जाने-माने
occupy,पर कब्जा
Jacob,याकूब
gown,गाउन
cruelty,क्रूरता
lowest,सबसे कम
hesitation,संकोच
withdrew,वापस ले जाना
proposal,प्रस्ताव
destiny,तकदीर
recognised,मान्यता प्राप्त
commons,लोक
foul,बेईमानी से
loaded,लदा हुआ
amidst,बीच में
titles,खिताब
ancestors,पूर्वज
types,प्रकार
commanding,कमांडिंग
madness,पागलपन
assigned,सौंपा गया
temptation,प्रलोभन
lady's,लेडीज़
subsequent,बाद का
jewels,गहने
breathed,सांस
willingly,अपनी मर्जी
bells,घंटी
spectacle,तमाशा
uneasy,बेचैन
formidable,दुर्जेय
stately,आलीशान
machinery,मशीनरी
fragments,टुकड़े टुकड़े
rushing,भागने
attractive,आकर्षक
product,उत्पाद
economic,आर्थिक
sickness,रोग
uses,उपयोग
dashed,धराशायी
engine,यन्त्र
ashore,तट पर
dates,पिंड खजूर
theirs,उन लोगों के
adv,अभिभाषक
clasped,लगा हुआ
leather,चमड़ा
spared,बख्शा
crushed,कुचल
interfere,हस्तक्षेप करना
waved,तरंगमय
slope,ढलान
floating,चल
worry,चिंता
effected,प्रभावित
passengers,यात्रियों
violently,बलपूर्वक
donation,दान
steamer,भाप करनेवाला
witnesses,गवाहों
Word,शब्द
specified,निर्दिष्ट
learnt,सीखा
stores,स्टोर
designed,बनाया गया
guessed,अनुमान लगाया
roger,आरे
talents,प्रतिभा
heed,सावधानी
Jackson,जैक्सन
murdered,हत्या
vivid,जीवंत
woe,हाय
calculate,calculate
killing,मारना
Laura,लौरा
savages,असभ्य
wasted,बर्बाद
trifle,छोटी सी
funny,मज़ेदार
philosopher,दार्शनिक
insult,अपमान करना
den,मांद
representation,प्रतिनिधित्व
incapable,अक्षम
eloquence,वाग्मिता
dine,भोजन
temples,मंदिरों
Ann,ऐन
sensitive,संवेदनशील
robin,रोबिन
appetite,भूख
wishing,बधाई देने के लिए
picturesque,सुरम्य
Douglas,डगलस
courtesy,शिष्टाचार
remembrance,the action of remembering something
lawyers,वकीलों
sphere,वृत्त
murmur,बड़बड़ाहट
elegant,सुरुचिपूर्ण
honourable,माननीय
stopping,रोक
guilt,अपराध
welfare,कल्याण
avoided,बचा
fishing,मछली पकड़ने
perish,नाश
sober,सादगीपूर्ण
steal,चुराना
delicious,स्वादिष्ट
infant,बच्चा
lip,ओंठ
Norman,नॉर्मन
offended,अपमानित
dost,दोस्त
memories,यादें
wheat,गेहूँ
Japanese,जापानी
humor,हास्य
exhibited,प्रदर्शन किया
encounter,मुठभेड़
footsteps,नक्शेकदम
marquis,इंग्लैंड के अमीरों की एक पदवी
smiles,मुस्कान
amiable,सुशील
twilight,सांझ
arrows,तीर
consisting,मिलकर
park,पार्क
retire,रिटायर
economy,अर्थव्यवस्था
sufferings,कष्टों
secrets,रहस्य
na,ना
halted,रुका
govern,को नियंत्रित करने वाले
favourable,अनुकूल
colors,रंग की
stretch,फैलाव
formation,गठन
immortal,अमर
gallery,गेलरी
parallel,समानांतर
lean,दुबला
tempted,परीक्षा
frontier,सीमांत
continent,महाद्वीप
knock,दस्तक
impatience,अधीरता
dealing,व्यवहार
prohibition,निषेध
decent,शालीन
fiery,उग्र
images,इमेजिस
tie,बाँधना
punished,दंडित
submitted,प्रस्तुत
Julia,जूलिया
speedily,जल्दी से
consented,सहमति दे दी है
major,मेजर
preliminary,प्रारंभिक
void,शून्य
prudence,विवेक
egg,अंडा
amazement,विस्मय
border,सीमा
artificial,कृत्रिम
hereafter,from now on or life after death
fanny,पिछाड़ी
crimes,अपराधों
breathe,साँस लेना
anchor,लंगर डालना
Chicago,शिकागो
sits,बैठता
purchased,खरीदा
eminent,प्रख्यात
neighbors,पड़ोसियों
glowing,प्रकाश से युक्त
sunlight,सूरज की रोशनी
examples,उदाहरण
wealthy,धनवान
seeming,प्रतीयमान
Bonaparte,बोनापार्ट
shouting,चिल्लाहट
thanked,धन्यवाद दिया
illustrious,शानदार
curiously,दिलचस्प
inspiration,प्रेरणा
seeds,बीज
naval,नवल
foes,दुश्मनों
everyone,हर कोई
longed,इंतज़ार
abundant,भरपूर
doubted,शक
painter,चित्रकार
greeted,बधाई दी
erect,खड़ा करना
glasses,चश्मा
meanwhile,इस दौरान
shooting,शूटिंग
Athens,एथेंस
wagon,गाड़ी
lent,व्रत
crisis,संकट
undertake,आरंभ करना
particulars,ब्यौरे
eh,एह
veins,नसों
polite,सभ्य
Anna,अन्ना
experiences,अनुभवों
header,हैडर
clergy,पादरियों
mount,पर्वत
array,सरणी
corners,कोने
magazine,पत्रिका
loudly,जोर जोर
bitterness,अप्रसन्नता
Texas,टेक्सास
guardian,अभिभावक
searching,खोज कर
rejected,अस्वीकृत
harsh,रुखा
includes,शामिल
boldly,निर्भीकता
Maurice,मौरिस
Kate,कैट
lunch,दोपहर का भोजन
pine,देवदार
shells,गोले
seconds,सेकंड
despite,इसके बावजूद
hoping,उम्मीद
injustice,अन्याय
expressions,भाव
flies,मक्खियों
push,धकेलना
tight,तंग
landscape,परिदृश्य
sue,मुक़दमा चलाना
protested,विरोध करना
scarlet,लाल
abandon,छोड़ देना
artistic,कलात्मक
mainly,में मुख्य
measured,मापा
loyal,निष्ठावान
boiling,उबलना
desirous,इच्छुक
suited,अनुकूल
alliance,संधि
advise,सलाह देना
waist,कमर
sinking,डूब
apprehension,आशंका
stable,स्थिर
gregory,ग्रेगरी
maximum,ज्यादा से ज्यादा
commit,वादा करना
hideous,भयंकर
sweetness,मिठास
dismissed,ख़ारिज
tore,फट गया
affect,प्रभावित करना
shaken,हिल
evils,बुराइयों
unworthy,नालायक कहीं का
significance,महत्व
miracle,चमत्कार
lieu,एवज
peasant,किसान
considerably,काफी
observing,अवलोकन
conveyed,अवगत करा
resemblance,सादृश्य
extend,बढ़ाना
personally,व्यक्तिगत रूप से
morality,नैतिकता
rebellion,विद्रोह
thread,धागा
dumb,बेवकूफ़
inclination,झुकाव
forbidden,वर्जित
copper,ताँबा
differences,मतभेद
sailor,नाविक
requested,का अनुरोध किया
Alfred,अल्फ्रेड
response,जवाब
promoting,को बढ़ावा
imperial,शाही
blank,खाली
purity,पवित्रता
victor,विजेता
bending,झुकने
solemnly,सत्यनिष्ठा
minor,नाबालिग
crimson,गहरा लाल
teachers,शिक्षकों की
ma'am,महोदया
danced,नृत्य
bargain,मोल तोल
dealt,निपटा
fatigue,थकान
telephone,टेलीफ़ोन
cents,सेंट
whip,कोड़ा
dislike,नापसन्द
witnessed,देखा
infantry,पैदल सेना
acres,एकड़ जमीन
checked,जाँच
countrymen,देशवासियों
enemy's,दुश्मन का
normal,सामान्य
shirt,शर्ट
addresses,पतों
introduce,परिचय देना
sofa,सोफ़ा
mothers,माताओं
conversion,परिवर्तन
sketch,स्केच
African,अफ़्रीकी
deserved,लायक
answering,जवाब
virtuous,धार्मिक
Persian,फ़ारसी
anyway,वैसे भी
thief,चोर
driver,चालक
retain,बनाए रखना
constructed,निर्माण
Daniel,डैनियल
UT,केन्द्र शासित प्रदेशों
Philadelphia,फ़िलाडेल्फ़िया
conspicuous,विशिष्ट
channel,a length of water wider than a strait or joining two larger areas of water or especially two seas
nobility,कुलीनता
Berlin,बर्लिन
editing,संपादन
Cambridge,कैंब्रिज
declaration,घोषणा
guards,गार्ड
personality,व्यक्तित्व
smallest,सबसे छोटा
excess,अधिक
separation,पृथक्करण
disgust,a strong feeling of not liking
ha,हा
accomplish,पूरा करना
speeches,भाषण
Herbert,हर्बर्ट
convent,मठ
rightly,ठीक
suspended,निलंबित
reform,सुधार
mob,भीड़
thirst,प्यास
unnecessary,बेकार
treasures,खजाने
viewed,देखी
designs,डिजाइन
gleam,प्रकाश की किरण
threatening,धमकी
palm,हथेली
Missouri,मिसौरी
quoth,झगड़ालू
fur,छाल
fortnight,पखवाड़ा
holes,छेद
addressing,को संबोधित
frightful,भयंकर
encourage,प्रोत्साहित करना
speaker,वक्ता
tribute,श्रद्धांजलि
procure,खरीद
frankly,सच कहूं
recommended,अनुशंसित
relieve,राहत देना
intentions,इरादों
unjust,अन्यायपूर्ण
legislation,विधान
project,परियोजना
threshold,सीमा
merits,गुण
morrow,कल
traces,निशान
induce,प्रेरित करना
spear,भाला
inward,आंतरिक
pupils,विद्यार्थियों
corresponding,related or similar to something
fairy,परी
conclude,निष्कर्ष निकालना
clung,चिपके रहे hold on tightly to
neat,साफ़
lucky,भाग्यशाली
lap,गोद
session,सत्र
torture,कष्ट पहुंचाना
damp,नम
ridge,चोटी
spoil,बिगाड़ना
liable,उत्तरदायी
swords,तलवार
hearty,हार्दिक
thoughtful,विचारमग्न
traveller,यात्री
chains,चेन
favorable,अनुकूल
tin,टिन
imp.,कुप्रबंधन।
strongest,मजबूत
dependent,आश्रित
bills,विधेयकों
warrant,वारंट
complaint,शिकायत
endeavour,प्रयास
sails,पाल
dined,डिनर किया
convention,सम्मेलन
guarded,संरक्षित
angle,कोण
widely,व्यापक रूप से
Illinois,इलिनोइस
Charlotte,चालट
endeavoured,प्रयास
ardent,उत्साही
cow,गाय
victims,पीड़ित
prejudice,पक्षपात
foremost,सबसे महत्वपूर्ण
map,नक्शा
probability,संभावना
porch,बरामदा
lieutenant,लेफ्टिनेंट
surprising,चौंका देने वाला
fountain,झरना
sustained,निरंतर
appropriate,उचित
Ford,पायाब
Clara,क्लारा
assisted,सहायता प्रदान की
Lewis,लेविस
rejoice,आनन्द करे
extending,विस्तार
marvellous,अद्भुत
clothed,पहने
Jew,यहूदी
collar,गले का पट्टा
bands,बैंड
confident,आत्मविश्वासी
hasty,हेस्टी
nigh,समीप
organ,अंग
prose,गद्य
privileges,a special right or advantage that only one person or group has
selection,चयन
inquiries,पूछताछ
codes,कोड्स
replace,बदलने के
saint,सेंट
districts,जिलों
deliberately,जान - बूझकर
awe,भय
beforehand,पहले ही
strife,कलह
beer,बीयर
retorted,प्रतिवाद किया
relate,संबद्ध करना
cheerfully,हंसमुख
pistol,पिस्तौल
presume,अनुमान
velvet,मख़मली
wretch,नीच
Pennsylvania,पेंसिल्वेनिया
stirring,सरगर्मी
righteousness,धर्म
missing,गुम
fain,प्रसन्नतापूर्वक
facing,का सामना करना पड़
fashionable,फैशनेबल
producing,उत्पादन
peoples,लोगों
positively,सकारात्मक
reasoning,विचार
